instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,run_status,run_elapsed_s,data_dir,out_dir,run_error,status,objective,horizon_days,num_units,num_operations
small/tight_delivery/I014,small,tight_delivery,1033,10,300,2,ok,0.717221,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I014,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I014,,INFEASIBLE,,35,18,72
small/tight_delivery/I015,small,tight_delivery,1034,10,300,2,ok,1.166736,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I015,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I015,,INFEASIBLE,,35,26,104
small/tight_delivery/I016,small,tight_delivery,1035,10,300,2,ok,1.138383,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I016,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I016,,INFEASIBLE,,34,26,104
small/tight_delivery/I017,small,tight_delivery,1036,10,300,2,ok,1.555839,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I017,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I017,,INFEASIBLE,,35,32,128
small/tight_delivery/I018,small,tight_delivery,1037,10,300,2,ok,0.812887,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I018,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I018,,INFEASIBLE,,30,21,84
small/tight_delivery/I019,small,tight_delivery,1038,10,300,2,ok,1.22035,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I019,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I019,,INFEASIBLE,,32,28,112
small/tight_delivery/I020,small,tight_delivery,1039,10,300,2,ok,0.892029,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I020,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I020,,INFEASIBLE,,35,21,84
small/tight_storage/I001,small,tight_storage,1040,10,300,2,ok,11.154409,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I001,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I001,,OPTIMAL,150.0,57,29,116
small/tight_storage/I002,small,tight_storage,1041,10,300,2,ok,9.926847,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I002,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I002,,INFEASIBLE,,59,30,120
small/tight_storage/I003,small,tight_storage,1042,10,300,2,ok,8.632315,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I003,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I003,,OPTIMAL,143.0,60,27,108
