instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,storage,staff_factor,run_status,run_error,run_elapsed_s,status,objective,horizon_days,num_units,num_operations
medium/baseline/I004,medium,baseline,1063,20,300,0,10,0.8,ok,,5.927368,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,10,1.0,ok,,5.848161,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,10,1.2,ok,,5.881343,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,20,0.8,ok,,5.906236,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,20,1.0,ok,,5.871073,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,20,1.2,ok,,5.879287,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,50,0.8,ok,,5.895414,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,50,1.0,ok,,5.871791,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,50,1.2,ok,,5.90846,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,5,0.8,ok,,6.018566,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,5,1.0,ok,,6.013991,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,5,1.2,ok,,5.970771,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,10,0.8,ok,,6.027822,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,10,1.0,ok,,6.004719,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,10,1.2,ok,,6.004769,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,20,0.8,ok,,6.021809,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,20,1.0,ok,,5.996444,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,20,1.2,ok,,5.983436,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,50,0.8,ok,,6.043498,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,50,1.0,ok,,5.973219,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,2,50,1.2,ok,,6.007583,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,5,0.8,ok,,6.014687,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,5,1.0,ok,,6.126764,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,5,1.2,ok,,5.982482,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,10,0.8,ok,,5.953979,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,10,1.0,ok,,5.971576,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,10,1.2,ok,,5.952584,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,20,0.8,ok,,6.012354,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,20,1.0,ok,,5.965023,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,20,1.2,ok,,5.972635,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,50,0.8,ok,,6.222592,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,50,1.0,ok,,6.211681,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,5,50,1.2,ok,,6.186189,INFEASIBLE,,58,67,268
medium/baseline/I005,medium,baseline,1064,20,300,0,5,0.8,ok,,5.195796,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,5,1.0,ok,,5.226482,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,5,1.2,ok,,5.168718,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,10,0.8,ok,,5.194858,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,10,1.0,ok,,5.206427,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,10,1.2,ok,,5.185442,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,20,0.8,ok,,5.217559,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,20,1.0,ok,,5.171865,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,20,1.2,ok,,5.248739,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,50,0.8,ok,,5.194481,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,0,50,1.0,ok,,5.065282,INFEASIBLE,,58,60,240
